Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1047.3,"Success
",6 August 2019,23:23
0,F9 B5,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,39,F9 B5,"Success
",11 November 2019,14:56
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",5 December 2019,17:29
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,40,F9 B5B1056.3,"Success
",17 December 2019,00:10
0,F9 B5,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,"Success
",7 January 2020,02:19:21
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,41,F9 B5,"Success
",19 January 2020,15:30
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",29 January 2020,14:07
0,F9 B5,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,42,F9 B5,"Success
",17 February 2020,15:05
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 March 2020,04:50
0,F9 B5,Starlink,"15,410 kg",LEO,SpaceX,43,F9 B5,"Success
",18 March 2020,12:16
0,F9 B5,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,"Success
",22 April 2020,19:30
0,F9 B5B1058.2,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,44,F9 B5,"Success
",30 May 2020,19:22
0,F9 B5,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",4 June 2020,01:25
0,F9 B5B1049.6,Starlink,"~15,440 kg",LEO,SpaceX,45,F9 B5,"Success
",13 June 2020,09:21
0,F9 B5,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",F9 B5,"Success
",30 June 2020,20:10:46
0,F9 B5B1060.2,Starlink,"15,600 kg",LEO,SpaceX,46,F9 B5B1058.2,"Success
",20 July 2020,21:30
0,F9 B5B1058.3,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,"Success
",7 August 2020,05:12
0,F9 B5B1051.6,Starlink,"15,600 kg",LEO,SpaceX,47,F9 B5B1049.6,"Success
",18 August 2020,14:31
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,"Success
",30 August 2020,23:18
0,F9 B5,GPS III,"4,311 kg",MEO,USSF,48,F9 B5B1060.2,"Success
",3 September 2020,12:46:14
0,F9 B5,Crew-1,"~12,500 kg",LEO,NASA,Success,F9 B5B1058.3,"Success
",6 October 2020,11:29:34
0,F9 B5,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,49,F9 B5B1051.6,"Success
",18 October 2020,12:25:57
0,F9 B5 ♺,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,"Success
",24 October 2020,15:31:34
0,F9 B5 ♺,SpaceX CRS-21,"2,972 kg",LEO,NASA,50,F9 B5,"Success
",5 November 2020,23:24:23
0,F9 B5 ♺,SXM-7,"7,000 kg",GTO,Sirius XM,Success,F9 B5,"Success
",16 November 2020,00:27
0,F9 B5 ♺,NROL-108,C,LEO,NRO,51,F9 B5,"Success
",21 November 2020,17:17:08
0,F9 B5,Türksat 5A,"3,500 kg",GTO,Türksat,Success,F9 B5 ♺,"Success
",25 November 2020,02:13
0,F9 B5B1051.8,Starlink,"15,600 kg",LEO,SpaceX,52,F9 B5 ♺,"Success
",6 December 2020,16:17:08
0,F9 B5B1058.5,Transporter-1,"~5,000 kg",SSO,SpaceX,Success,F9 B5 ♺,"Success
",13 December 2020,17:30:00
0,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,53,F9 B5 ♺,Success,19 December 2020,14:00:00
0,CCAFS,Dragon,0,LEO,NASA,Success,F9 B5,Success,8 January 2021,02:15
0,CCAFS,Dragon,525 kg,LEO,NASA,54,F9 B5B1051.8,"Success
",20 January 2021,13:02
0,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 B5B1058.5,"Success
",24 January 2021,15:00
0,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,55,F9 v1.0B0003.1,Success,4 June 2010,18:45
0,VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,F9 v1.0B0004.1,Success,8 December 2010,15:43
0,CCAFS,SES-8,"3,170 kg",GTO,Thaicom,56,F9 v1.0B0005.1,Success,22 May 2012,07:44
0,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,Success,F9 v1.0B0006.1,"Success
",8 October 2012,00:35
0,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,57,F9 v1.0B0007.1,Success,1 March 2013,15:10
0,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,F9 v1.1B1003,Success,29 September 2013,16:00
0,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,58,F9 v1.1,Success,3 December 2013,22:41
0,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,F9 v1.1,Success,6 January 2014,22:06
0,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,59,F9 v1.1,Success,18 April 2014,19:25
0,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,Success,F9 v1.1,"Success
",14 July 2014,15:15
0,Cape Canaveral,DSCOVR,570 kg,HEO,ABS,60,F9 v1.1,"Success
",5 August 2014,08:00
0,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,Success,F9 v1.1,"Success
",7 September 2014,05:00
0,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,61,F9 v1.1,"Success
",21 September 2014,05:52
0,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Success,F9 v1.1,Failure,10 January 2015,09:47
0,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,62,F9 v1.1,"Success
",11 February 2015,23:03
0,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,Success,F9 v1.1,"Success
",2 March 2015,03:50
0,VAFB,Jason-3,553 kg,LEO,SES,63,F9 v1.1,"Success
",14 April 2015,20:10
0,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,Success,F9 v1.1,Success,27 April 2015,23:03
0,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,64,F9 v1.1,"Success
",28 June 2015,14:21
0,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,Success,F9 FT,"Success
",22 December 2015,01:29
0,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,ABS,65,F9 v1.1,"Success
",17 January 2016,18:42
0,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",F9 FT,"Success
",4 March 2016,23:35
0,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,66,F9 FT,"Success
",8 April 2016,20:43
0,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,Success,F9 FT,"Success
",6 May 2016,05:21
0,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,67,F9 FT,"Success
",27 May 2016,21:39
0,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,"Success
",F9 FT,"Success
",15 June 2016,14:29
0,KSC,EchoStar 23,"5,600 kg",GTO,SES,68,F9 FT,Success,18 July 2016,04:45
0,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",F9 FT,"Success
",14 August 2016,05:26
0,KSC,NROL-76,C,LEO,Inmarsat,69,F9 FT,"Success
",14 January 2017,17:54
0,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",F9 FT,"Success
",19 February 2017,14:39
0,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,70,F9 FT,"Success
",16 March 2017,06:00
0,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",F9 FT♺,"Success
",30 March 2017,22:27
0,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,71,F9 FT,"Success
",1 May 2017,11:15
0,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",F9 FT,"Success
",15 May 2017,23:21
0,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,72,F9 FT,"Success
",3 June 2017,21:07
0,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",F9 FTB1029.2,"Success
",23 June 2017,19:10
0,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,73,F9 FT,"Success
",25 June 2017,20:25
0,VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",F9 FT,"Success
",5 July 2017,23:38
0,KSC,SES-11,"5,200 kg",GTO,KT Corporation,74,F9 B4,"Success
",14 August 2017,16:31
0,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,"Success
",F9 FT,"Success
",24 August 2017,18:51
0,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,75,F9 B4,Success,7 September 2017,14:00
0,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,"Success
",F9 B4,Success,9 October 2017,12:37
0,CCAFS,Zuma,C,LEO,SES,76,F9 FTB1031.2,Success,11 October 2017,22:53:00
0,CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,"Success
",F9 B4,Success,30 October 2017,19:34
0,VAFB,Paz,"2,150 kg",SSO,Hispasat,77,F9 FTB1035.2,Success,15 December 2017,15:36
0,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,"Success
",F9 FTB1036.2,Success,23 December 2017,01:27
0,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,78,F9 B4,Success,8 January 2018,01:00
0,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,"Success
",F9 FTB1032.2,Success,31 January 2018,21:25
0,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,79,F9 FTB1038.2,Success,22 February 2018,14:17
0,KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,"Success
",F9 B4,Success,6 March 2018,05:33
0,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,80,F9 B4B1041.2,Success,30 March 2018,14:14
0,CCAFS,SES-12,"5,384 kg",GTO,NASA,"Success
",F9 B4B1039.2,Success,2 April 2018,20:30
0,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,81,F9 B4,Success,18 April 2018,22:51
0,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,"Success
",F9 B5B1046.1,Success,11 May 2018,20:14
0,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,82,F9 B4B1043.2,Success,22 May 2018,19:47
0,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,"Success
",F9 B4B1040.2,Success,4 June 2018,04:45
0,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,83,F9 B4B1045.2,Success,29 June 2018,09:42
0,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,"Success
",F9 B5,Success,22 July 2018,05:50
0,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,84,F9 B5B1048,Success,25 July 2018,11:39
0,VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",F9 B5B1046.2,"Success
",7 August 2018,05:18
0,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,85,F9 B5,Success,10 September 2018,04:45
0,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",F9 B5B1048.2,"Success
",8 October 2018,02:22
0,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,86,F9 B5B1047.2,"Success
",15 November 2018,20:46
0,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",F9 B5B1046.3,"Success
",3 December 2018,18:34:05
0,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,87,F9 B5,"Success
",5 December 2018,18:16
0,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",23 December 2018,13:51
0,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,88,F9 B5B1049.2,"Success
",11 January 2019,15:31
0,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",F9 B5B1048.3,"Success
",22 February 2019,01:45
0,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,89,F9 B5[268],"Success
",2 March 2019,07:49
0,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5,"Success
",4 May 2019,06:48
0,CCAFS,Starlink,"15,600 kg",LEO,NASA,90,F9 B5B1049.3,"Success
",24 May 2019,02:30
0,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5B1051.2,"Success
",12 June 2019,14:17
0,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,91,F9 B5B1056.2,"Success
",25 July 2019,22:01
0,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1047.3,"Success
",6 August 2019,23:23
0,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,92,F9 B5,"Success
",11 November 2019,14:56
0,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",5 December 2019,17:29
0,CCAFS,Starlink,"15,600 kg",LEO,NASA,93,F9 B5B1056.3,"Success
",17 December 2019,00:10
0,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 January 2020,02:19:21
0,KSC,Starlink,"15,600 kg",LEO,SpaceX,94,F9 B5,"Success
",19 January 2020,15:30
0,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",29 January 2020,14:07
0,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,95,F9 B5,"Success
",17 February 2020,15:05
0,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 March 2020,04:50
0,CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force,96,F9 B5,"Success
",18 March 2020,12:16
0,CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",F9 B5,"Success
",22 April 2020,19:30
0,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,97,F9 B5,"Success
",30 May 2020,19:22
0,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",4 June 2020,01:25
0,CCAFS,Starlink,"~15,440 kg",LEO,CONAE,98,F9 B5,"Success
",13 June 2020,09:21
0,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5,"Success
",30 June 2020,20:10:46
0,KSC,Starlink,"15,600 kg",LEO,SpaceX,99,F9 B5B1058.2,"Success
",20 July 2020,21:30
0,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 August 2020,05:12
0,KSC,Starlink,"15,600 kg",LEO,SpaceX,100,F9 B5B1049.6,"Success
",18 August 2020,14:31
0,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5,"Success
",30 August 2020,23:18
0,CCAFS,GPS III,"4,311 kg",MEO,NASA,101,F9 B5B1060.2,"Success
",3 September 2020,12:46:14
0,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5B1058.3,"Success
",6 October 2020,11:29:34
0,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,102,F9 B5B1051.6,"Success
",18 October 2020,12:25:57
0,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",24 October 2020,15:31:34
0,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,103,F9 B5,"Success
",5 November 2020,23:24:23
0,CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",F9 B5,"Success
",16 November 2020,00:27
0,KSC,NROL-108,C,LEO,Türksat,104,F9 B5,"Success
",21 November 2020,17:17:08
0,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5 ♺,"Success
",25 November 2020,02:13
0,KSC,Starlink,"15,600 kg",LEO,SpaceX,105,F9 B5 ♺,"Success
",6 December 2020,16:17:08
0,CCSFS,Transporter-1,"~5,000 kg",SSO,NASA,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
0,F9 v1.0B0003.1,Dragon Spacecraft Qualification Unit,0,LEO,NASA,106,F9 B5 ♺,Success,19 December 2020,14:00:00
0,F9 v1.0B0004.1,Dragon,0,LEO,NASA,1,F9 B5,"Success
",8 January 2021,02:15
0,F9 v1.0B0005.1,Dragon,525 kg,LEO,NASA,"Success
",F9 B5B1051.8,"Success
",20 January 2021,13:02
0,F9 v1.0B0006.1,SpaceX CRS-1,"4,700 kg",LEO,MDA,2,F9 B5B1058.5,Success,24 January 2021,15:00
0,F9 v1.0B0007.1,SpaceX CRS-2,"4,877 kg",LEO,SES,Success,F9 v1.0B0003.1,Success,4 June 2010,18:45
0,F9 v1.1B1003,CASSIOPE,500 kg,Polar orbit,Thaicom,3,F9 v1.0B0004.1,Success,8 December 2010,15:43
0,F9 v1.1,SES-8,"3,170 kg",GTO,NASA,Success,F9 v1.0B0005.1,"Success
",22 May 2012,07:44
0,F9 v1.1,Thaicom 6,"3,325 kg",GTO,Orbcomm,4,F9 v1.0B0006.1,Success,8 October 2012,00:35
0,F9 v1.1,SpaceX CRS-3,"2,296 kg",LEO,AsiaSat,"Success
",F9 v1.0B0007.1,Success,1 March 2013,15:10
0,F9 v1.1,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,5,F9 v1.1B1003,Success,29 September 2013,16:00
